[2017-06-19 22:11:47,348] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:47,348] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:48,002] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 36).
[2017-06-19 22:11:48,002] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 36).
[2017-06-19 22:11:49,347] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:49,347] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:49,596] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 35).
[2017-06-19 22:11:49,596] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 35).
[2017-06-19 22:11:49,717] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:49,717] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:50,064] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 33).
[2017-06-19 22:11:50,064] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 33).
[2017-06-19 22:11:50,422] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:50,422] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:53,612] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 48).
[2017-06-19 22:11:53,612] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (20, 48).
[2017-06-19 22:11:54,801] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:54,801] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:46,916] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (26, 3).
[2017-06-19 22:12:46,916] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (26, 3).
[2017-06-19 22:12:47,058] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:47,058] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:48,752] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (25, 14).
[2017-06-19 22:12:48,752] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (25, 14).
[2017-06-19 22:12:48,803] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:48,803] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:48,953] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (23, 13).
[2017-06-19 22:12:48,953] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (23, 13).
[2017-06-19 22:12:49,002] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:49,002] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:49,152] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (23, 13).
[2017-06-19 22:12:49,152] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (23, 13).
[2017-06-19 22:12:49,953] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:49,953] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:51,568] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 16).
[2017-06-19 22:12:51,568] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 16).
[2017-06-19 22:12:51,874] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:51,874] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:52,524] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 12).
[2017-06-19 22:12:52,524] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 12).
[2017-06-19 22:12:52,594] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:52,594] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:54,044] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (23, 17).
[2017-06-19 22:12:54,044] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (23, 17).
[2017-06-19 22:12:54,504] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:54,504] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:55,812] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (29, 36).
[2017-06-19 22:12:55,812] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (29, 36).
[2017-06-19 22:12:55,990] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:12:55,990] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:00,345] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (18, 20).
[2017-06-19 22:13:00,345] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (18, 20).
[2017-06-19 22:13:00,578] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:00,578] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:00,728] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 19).
[2017-06-19 22:13:00,728] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 19).
[2017-06-19 22:13:00,778] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:00,778] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:00,928] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 19).
[2017-06-19 22:13:00,928] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 19).
[2017-06-19 22:13:01,074] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:01,074] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:03,476] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (31, 9).
[2017-06-19 22:13:03,476] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (31, 9).
[2017-06-19 22:13:03,573] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:03,573] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:05,044] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (29, 27).
[2017-06-19 22:13:05,044] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (29, 27).
[2017-06-19 22:13:05,338] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:05,338] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:05,688] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (29, 32).
[2017-06-19 22:13:05,688] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (29, 32).
[2017-06-19 22:13:05,702] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:05,702] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
